Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Argentina,Superliga,2019/2020,07/12/2019,22:40,Atl. Tucuman,Newells Old Boys,2,2,D,2.63,3.04,3.07,2.8,3.1,3.07,2.56,2.95,2.95
Argentina,Superliga,2019/2020,07/12/2019,22:40,Talleres Cordoba,Union de Santa Fe,0,0,D,2.07,3.19,4.2,2.12,3.28,4.2,2.06,3.11,3.84
Argentina,Superliga,2019/2020,08/12/2019,00:45,Lanus,Racing Club,1,0,H,2.36,3.25,3.29,2.38,3.3,3.5,2.28,3.16,3.19
Argentina,Superliga,2019/2020,08/12/2019,20:35,Defensa y Justicia,Godoy Cruz,2,0,H,1.36,4.82,10.04,1.37,5,11,1.34,4.72,8.99
Argentina,Superliga,2019/2020,08/12/2019,20:35,Gimnasia L.P.,Central Cordoba,2,1,H,1.88,3.36,4.83,1.91,3.54,4.83,1.84,3.32,4.46
Argentina,Superliga,2019/2020,08/12/2019,22:40,Rosario Central,Boca Juniors,1,0,H,3.4,3.14,2.37,3.43,3.2,2.42,3.28,3.02,2.32
Argentina,Superliga,2019/2020,09/12/2019,00:45,River Plate,San Lorenzo,0,1,A,1.31,5.32,10.91,1.34,5.5,10.91,1.31,5.16,9.37
Argentina,Superliga,2019/2020,09/12/2019,22:00,Patronato,Velez Sarsfield,0,1,A,4.45,3.23,2,4.45,3.25,2.02,4.18,3.11,1.97
Argentina,Superliga,2019/2020,10/12/2019,00:10,Argentinos Jrs,Estudiantes L.P.,1,1,D,2.37,2.95,3.66,2.44,3.05,3.7,2.3,2.88,3.49
Argentina,Superliga,2019/2020,13/12/2019,00:00,Arsenal Sarandi,Colon Santa FE,2,1,H,1.65,3.91,5.6,1.69,4.02,5.82,1.63,3.8,5.25
Argentina,Superliga,2019/2020,13/12/2019,20:10,Independiente,Newells Old Boys,2,3,A,2.22,2.86,4.17,2.25,3.22,4.17,2.16,2.94,3.79
Argentina,Superliga,2019/2020,19/01/2020,22:10,Independiente,River Plate,1,2,A,3.95,3.61,1.97,4.42,3.61,2.05,3.82,3.43,1.94
Argentina,Superliga,2019/2020,24/01/2020,20:35,Aldosivi,Lanus,2,0,H,4.11,3.23,2.06,4.22,3.48,2.15,3.9,3.19,2.01
Argentina,Superliga,2019/2020,24/01/2020,22:40,Gimnasia L.P.,Velez Sarsfield,0,0,D,3.23,3.01,2.51,3.37,3.16,2.52,3.12,2.98,2.43
Argentina,Superliga,2019/2020,25/01/2020,00:45,Rosario Central,Huracan,2,1,H,1.67,3.55,6.19,1.74,3.8,6.2,1.65,3.5,5.68
Argentina,Superliga,2019/2020,25/01/2020,00:45,Union de Santa Fe,Argentinos Jrs,1,0,H,2.62,2.86,3.25,2.62,3.05,3.41,2.49,2.86,3.15
Argentina,Superliga,2019/2020,25/01/2020,20:35,Arsenal Sarandi,Newells Old Boys,1,1,D,2.76,3.23,2.72,2.78,3.4,2.92,2.64,3.19,2.67
Argentina,Superliga,2019/2020,25/01/2020,22:40,Central Cordoba,Colon Santa FE,1,0,H,2.17,2.95,4.16,2.22,3.26,4.16,2.14,2.91,3.88
Argentina,Superliga,2019/2020,25/01/2020,22:40,San Lorenzo,Estudiantes L.P.,1,1,D,2.9,2.78,2.99,2.9,2.94,3.26,2.78,2.75,2.9
Argentina,Superliga,2019/2020,26/01/2020,00:45,Godoy Cruz,River Plate,0,1,A,11.93,5.95,1.26,13.7,6,1.32,11.1,5.56,1.25
Argentina,Superliga,2019/2020,26/01/2020,20:35,Banfield,Patronato,3,3,D,1.78,3.47,5.27,1.8,3.64,5.8,1.75,3.4,5
Argentina,Superliga,2019/2020,26/01/2020,20:35,Defensa y Justicia,Talleres Cordoba,4,1,H,2.54,2.88,3.34,2.64,3.13,3.4,2.48,2.82,3.23
Argentina,Superliga,2019/2020,26/01/2020,22:40,Racing Club,Atl. Tucuman,1,1,D,1.78,3.34,5.59,1.81,3.58,5.7,1.76,3.28,5.16
Argentina,Superliga,2019/2020,27/01/2020,00:45,Boca Juniors,Independiente,0,0,D,2.07,3.22,4.09,2.15,3.25,4.33,2.02,3.11,4
Argentina,Superliga,2019/2020,31/01/2020,00:10,Velez Sarsfield,Aldosivi,1,1,D,1.47,4.03,8.78,1.51,4.2,8.92,1.45,3.89,8
Argentina,Superliga,2019/2020,01/02/2020,00:10,Huracan,Gimnasia L.P.,1,1,D,3.31,2.9,2.54,3.36,3.03,2.62,3.17,2.88,2.47
Argentina,Superliga,2019/2020,01/02/2020,20:35,Independiente,Rosario Central,5,0,H,1.82,3.47,4.94,1.98,3.47,5.2,1.86,3.26,4.53
Argentina,Superliga,2019/2020,01/02/2020,22:40,Atl. Tucuman,Defensa y Justicia,1,1,D,2.78,3.08,2.82,2.8,3.16,3.17,2.61,2.99,2.87
Argentina,Superliga,2019/2020,01/02/2020,22:40,Estudiantes L.P.,Union de Santa Fe,3,1,H,1.83,3.27,5.38,2,3.37,5.38,1.83,3.17,4.86
Argentina,Superliga,2019/2020,02/02/2020,00:45,Argentinos Jrs,Racing Club,1,1,D,2.8,2.91,2.95,2.85,3.26,2.99,2.7,2.91,2.84
Argentina,Superliga,2019/2020,02/02/2020,20:35,River Plate,Central Cordoba,2,0,H,1.2,6.6,16.97,1.26,6.65,16.97,1.21,6.1,13.43
Argentina,Superliga,2019/2020,02/02/2020,22:40,Colon Santa FE,Banfield,0,1,A,3.09,2.81,2.78,3.09,3.05,2.84,2.92,2.81,2.7
Argentina,Superliga,2019/2020,02/02/2020,22:40,Lanus,Godoy Cruz,2,0,H,1.4,4.63,9.01,1.48,4.75,9.25,1.39,4.53,7.94
Argentina,Superliga,2019/2020,03/02/2020,00:45,Talleres Cordoba,Boca Juniors,1,2,A,3.15,3.27,2.4,3.31,3.31,2.46,3.08,3.12,2.36
Argentina,Superliga,2019/2020,03/02/2020,22:00,Patronato,Arsenal Sarandi,2,2,D,2.6,3.31,2.83,2.66,3.48,3.19,2.48,3.21,2.83
Argentina,Superliga,2019/2020,04/02/2020,00:10,Newells Old Boys,San Lorenzo,1,0,H,1.95,3.33,4.46,2,3.42,5,1.93,3.25,4.18
Argentina,Superliga,2019/2020,07/02/2020,22:00,Aldosivi,Central Cordoba,0,2,A,2.54,2.88,3.35,2.6,3.15,3.37,2.48,2.84,3.21
Argentina,Superliga,2019/2020,08/02/2020,00:10,Argentinos Jrs,Lanus,0,0,D,3.04,2.78,2.84,3.05,3.05,2.87,2.86,2.84,2.73
Argentina,Superliga,2019/2020,08/02/2020,20:35,Defensa y Justicia,Colon Santa FE,0,0,D,1.63,3.9,5.9,1.67,3.9,6.9,1.62,3.65,5.61
Argentina,Superliga,2019/2020,08/02/2020,20:35,Gimnasia L.P.,Patronato,1,1,D,2.03,3.08,4.53,2.05,3.37,4.53,1.99,3.06,4.17
Argentina,Superliga,2019/2020,08/02/2020,22:40,Banfield,Rosario Central,1,1,D,2.54,2.94,3.26,2.55,3.16,3.58,2.4,2.91,3.23
Argentina,Superliga,2019/2020,08/02/2020,22:40,Newells Old Boys,Estudiantes L.P.,0,0,D,2.26,2.92,3.92,2.27,3.24,3.95,2.16,3.04,3.62
Argentina,Superliga,2019/2020,09/02/2020,00:45,Boca Juniors,Atl. Tucuman,2,0,H,1.26,6.12,11.49,1.33,6.12,14,1.27,5.49,10.54
Argentina,Superliga,2019/2020,09/02/2020,20:35,San Lorenzo,Velez Sarsfield,1,0,H,2.95,2.87,2.84,2.97,3.02,2.97,2.82,2.81,2.8
Argentina,Superliga,2019/2020,09/02/2020,22:40,Racing Club,Independiente,1,0,H,2.9,2.94,2.82,2.95,3.27,2.92,2.77,2.95,2.71
Argentina,Superliga,2019/2020,10/02/2020,00:45,Union de Santa Fe,River Plate,1,2,A,6.19,3.86,1.61,6.9,3.95,1.67,5.86,3.7,1.59
Argentina,Superliga,2019/2020,10/02/2020,22:00,Arsenal Sarandi,Talleres Cordoba,1,1,D,2.23,3.49,3.29,2.28,3.58,3.47,2.19,3.35,3.19
