Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Mexico,Liga MX,2019/2020,15/02/2020,01:00,Atl. San Luis,Club Leon,3,1,H,2.59,3.5,2.72,2.78,3.56,2.76,2.52,3.39,2.58
Mexico,Liga MX,2019/2020,15/02/2020,03:00,Monarcas,Club Tijuana,1,1,D,2.09,3.35,3.82,2.15,3.52,3.9,2.03,3.29,3.59
Mexico,Liga MX,2019/2020,15/02/2020,23:00,Pachuca,Puebla,1,0,H,1.69,3.78,5.4,1.7,4.2,5.75,1.63,3.81,4.98
Mexico,Liga MX,2019/2020,15/02/2020,23:00,Toluca,U.N.A.M.- Pumas,2,3,A,2.56,3.56,2.71,2.56,3.6,2.87,2.45,3.37,2.67
Mexico,Liga MX,2019/2020,16/02/2020,01:00,Club America,Atlas,2,0,H,1.55,4.38,5.98,1.59,4.38,6.52,1.52,4.07,5.76
Mexico,Liga MX,2019/2020,16/02/2020,01:06,Monterrey,Juarez,1,1,D,1.47,4.51,7.13,1.5,4.65,7.5,1.44,4.36,6.46
Mexico,Liga MX,2019/2020,16/02/2020,03:00,Guadalajara Chivas,Cruz Azul,1,2,A,2.74,3.14,2.81,2.74,3.34,2.88,2.56,3.11,2.72
Mexico,Liga MX,2019/2020,16/02/2020,23:00,Necaxa,Queretaro,2,3,A,2.55,3.38,2.85,2.55,3.45,2.86,2.44,3.29,2.74
Mexico,Liga MX,2019/2020,17/02/2020,00:45,Santos Laguna,U.A.N.L.- Tigres,2,1,H,1.99,3.76,3.72,2.05,3.82,3.8,1.95,3.59,3.5
Mexico,Liga MX,2019/2020,22/02/2020,01:00,Atlas,Pachuca,0,2,A,2.83,3.33,2.59,2.86,3.45,2.6,2.73,3.24,2.47
Mexico,Liga MX,2019/2020,22/02/2020,03:00,Puebla,Toluca,2,0,H,2.61,3.42,2.75,2.68,3.5,2.89,2.48,3.32,2.67
Mexico,Liga MX,2019/2020,22/02/2020,03:10,Club Tijuana,Guadalajara Chivas,0,1,A,2.24,3.33,3.43,2.24,3.44,3.5,2.15,3.21,3.32
Mexico,Liga MX,2019/2020,22/02/2020,23:00,Club Leon,Necaxa,2,1,H,1.75,3.82,4.84,1.78,4,5,1.7,3.78,4.47
Mexico,Liga MX,2019/2020,23/02/2020,01:00,Cruz Azul,U.A.N.L.- Tigres,2,1,H,2.13,3.39,3.65,2.16,3.5,3.8,2.05,3.31,3.48
Mexico,Liga MX,2019/2020,23/02/2020,03:00,Monterrey,Club America,0,1,A,1.87,3.8,4.13,1.9,3.82,4.2,1.83,3.62,3.94
Mexico,Liga MX,2019/2020,23/02/2020,18:00,U.N.A.M.- Pumas,Monarcas,1,2,A,1.98,3.96,3.56,2.05,3.96,3.8,1.97,3.63,3.41
Mexico,Liga MX,2019/2020,23/02/2020,23:00,Queretaro,Atl. San Luis,0,1,A,2.1,3.28,3.88,2.14,3.4,4,2.05,3.2,3.64
Mexico,Liga MX,2019/2020,24/02/2020,01:00,Juarez,Santos Laguna,1,2,A,3.11,3.32,2.4,3.2,3.5,2.4,3.01,3.32,2.25
Mexico,Liga MX,2019/2020,29/02/2020,01:00,Atl. San Luis,Juarez,0,3,A,1.85,3.52,4.63,1.87,3.6,5,1.81,3.39,4.41
Mexico,Liga MX,2019/2020,29/02/2020,01:00,Toluca,Monterrey,2,0,H,2.84,3.58,2.45,3.2,3.72,2.48,2.83,3.45,2.32
